Disease	N	Case/Control Ratio	r^2	P threshold	EffectSize	Power
HF	36788	9.694186047	0.0275	0.01	0.0506394843421737	0.0175635585761897
HF	36788	9.694186047	0.0275	0.01	0.0516394843421737	0.0179689376442969
HF	36788	9.694186047	0.0275	0.01	0.0526394843421737	0.0183822680325062
HF	36788	9.694186047	0.0275	0.01	0.0536394843421737	0.0188036695640399
HF	36788	9.694186047	0.0275	0.01	0.0546394843421737	0.0192332630042079
HF	36788	9.694186047	0.0275	0.01	0.0556394843421737	0.0196711700473943
HF	36788	9.694186047	0.0275	0.01	0.0566394843421737	0.0201175133034689
HF	36788	9.694186047	0.0275	0.01	0.0576394843421737	0.0205724162836188
HF	36788	9.694186047	0.0275	0.01	0.0586394843421737	0.0210360033855956
HF	36788	9.694186047	0.0275	0.01	0.0596394843421737	0.0215083998783715
HF	36788	9.694186047	0.0275	0.01	0.0606394843421737	0.0219897318862018
HF	36788	9.694186047	0.0275	0.01	0.0616394843421737	0.0224801263720882
HF	36788	9.694186047	0.0275	0.01	0.0626394843421737	0.0229797111206385
HF	36788	9.694186047	0.0275	0.01	0.0636394843421737	0.0234886147203196
HF	36788	9.694186047	0.0275	0.01	0.0646394843421737	0.0240069665450996
HF	36788	9.694186047	0.0275	0.01	0.0656394843421737	0.0245348967354755
HF	36788	9.694186047	0.0275	0.01	0.0666394843421737	0.0250725361788827
HF	36788	9.694186047	0.0275	0.01	0.0676394843421737	0.0256200164894853
HF	36788	9.694186047	0.0275	0.01	0.0686394843421737	0.0261774699873419
HF	36788	9.694186047	0.0275	0.01	0.0696394843421737	0.0267450296769463
HF	36788	9.694186047	0.0275	0.01	0.0706394843421737	0.0273228292251405
HF	36788	9.694186047	0.0275	0.01	0.0716394843421737	0.0279110029383979
HF	36788	9.694186047	0.0275	0.01	0.0726394843421737	0.0285096857394751
HF	36788	9.694186047	0.0275	0.01	0.0736394843421737	0.0291190131434316
HF	36788	9.694186047	0.0275	0.01	0.0746394843421737	0.029739121233016
HF	36788	9.694186047	0.0275	0.01	0.0756394843421737	0.0303701466334178
HF	36788	9.694186047	0.0275	0.01	0.0766394843421737	0.0310122264863855
HF	36788	9.694186047	0.0275	0.01	0.0776394843421737	0.0316654984237093
HF	36788	9.694186047	0.0275	0.01	0.0786394843421737	0.0323301005400709
HF	36788	9.694186047	0.0275	0.01	0.0796394843421737	0.0330061713652589
HF	36788	9.694186047	0.0275	0.01	0.0806394843421737	0.0336938498357527
HF	36788	9.694186047	0.0275	0.01	0.0816394843421737	0.034393275265674
HF	36788	9.694186047	0.0275	0.01	0.0826394843421737	0.0351045873171111
HF	36788	9.694186047	0.0275	0.01	0.0836394843421737	0.0358279259698135
HF	36788	9.694186047	0.0275	0.01	0.0846394843421737	0.0365634314902634
HF	36788	9.694186047	0.0275	0.01	0.0856394843421737	0.0373112444001241
HF	36788	9.694186047	0.0275	0.01	0.0866394843421737	0.0380715054440703
HF	36788	9.694186047	0.0275	0.01	0.0876394843421737	0.0388443555570017
HF	36788	9.694186047	0.0275	0.01	0.0886394843421737	0.0396299358306468
HF	36788	9.694186047	0.0275	0.01	0.0896394843421737	0.0404283874795578
HF	36788	9.694186047	0.0275	0.01	0.0906394843421737	0.0412398518065038
HF	36788	9.694186047	0.0275	0.01	0.0916394843421737	0.0420644701672667
HF	36788	9.694186047	0.0275	0.01	0.0926394843421737	0.0429023839348443
HF	36788	9.694186047	0.0275	0.01	0.0936394843421737	0.0437537344630678
HF	36788	9.694186047	0.0275	0.01	0.0946394843421737	0.0446186630496389
HF	36788	9.694186047	0.0275	0.01	0.0956394843421737	0.0454973108985942
HF	36788	9.694186047	0.0275	0.01	0.0966394843421737	0.0463898190822027
HF	36788	9.694186047	0.0275	0.01	0.0976394843421737	0.0472963285023045
HF	36788	9.694186047	0.0275	0.01	0.0986394843421737	0.0482169798510997
HF	36788	9.694186047	0.0275	0.01	0.0996394843421737	0.0491519135713927
HF	36788	9.694186047	0.0275	0.01	0.100639484342174	0.0501012698163044
HF	36788	9.694186047	0.0275	0.01	0.101639484342174	0.0510651884084584
HF	36788	9.694186047	0.0275	0.01	0.102639484342174	0.0520438087986525
HF	36788	9.694186047	0.0275	0.01	0.103639484342174	0.053037270024024
HF	36788	9.694186047	0.0275	0.01	0.104639484342174	0.0540457106657209
HF	36788	9.694186047	0.0275	0.01	0.105639484342174	0.0550692688060879
HF	36788	9.694186047	0.0275	0.01	0.106639484342174	0.0561080819853798
HF	36788	9.694186047	0.0275	0.01	0.107639484342174	0.0571622871580133
HF	36788	9.694186047	0.0275	0.01	0.108639484342174	0.0582320206483686
HF	36788	9.694186047	0.0275	0.01	0.109639484342174	0.0593174181061549
HF	36788	9.694186047	0.0275	0.01	0.110639484342174	0.0604186144613504
HF	36788	9.694186047	0.0275	0.01	0.111639484342174	0.0615357438787325
HF	36788	9.694186047	0.0275	0.01	0.112639484342174	0.0626689397120088
HF	36788	9.694186047	0.0275	0.01	0.113639484342174	0.0638183344575667
HF	36788	9.694186047	0.0275	0.01	0.114639484342174	0.0649840597078518
HF	36788	9.694186047	0.0275	0.01	0.115639484342174	0.0661662461043944
HF	36788	9.694186047	0.0275	0.01	0.116639484342174	0.0673650232904952
HF	36788	9.694186047	0.0275	0.01	0.117639484342174	0.0685805198635886
HF	36788	9.694186047	0.0275	0.01	0.118639484342174	0.0698128633272988
HF	36788	9.694186047	0.0275	0.01	0.119639484342174	0.0710621800432046
HF	36788	9.694186047	0.0275	0.01	0.120639484342174	0.0723285951823303
HF	36788	9.694186047	0.0275	0.01	0.121639484342174	0.0736122326763795
HF	36788	9.694186047	0.0275	0.01	0.122639484342174	0.0749132151687301
HF	36788	9.694186047	0.0275	0.01	0.123639484342174	0.0762316639652068
HF	36788	9.694186047	0.0275	0.01	0.124639484342174	0.077567698984651
HF	36788	9.694186047	0.0275	0.01	0.125639484342174	0.0789214387093056
HF	36788	9.694186047	0.0275	0.01	0.126639484342174	0.0802930001350345
HF	36788	9.694186047	0.0275	0.01	0.127639484342174	0.0816824987213953
HF	36788	9.694186047	0.0275	0.01	0.128639484342174	0.083090048341585
HF	36788	9.694186047	0.0275	0.01	0.129639484342174	0.0845157612322791
HF	36788	9.694186047	0.0275	0.01	0.130639484342174	0.085959747943384
HF	36788	9.694186047	0.0275	0.01	0.131639484342174	0.0874221172877231
HF	36788	9.694186047	0.0275	0.01	0.132639484342174	0.0889029762906777
HF	36788	9.694186047	0.0275	0.01	0.133639484342174	0.0904024301398039
HF	36788	9.694186047	0.0275	0.01	0.134639484342174	0.0919205821344466
HF	36788	9.694186047	0.0275	0.01	0.135639484342174	0.0934575336353729
HF	36788	9.694186047	0.0275	0.01	0.136639484342174	0.0950133840144463
HF	36788	9.694186047	0.0275	0.01	0.137639484342174	0.0965882306043637
HF	36788	9.694186047	0.0275	0.01	0.138639484342174	0.0981821686484791
HF	36788	9.694186047	0.0275	0.01	0.139639484342174	0.0997952912507345
HF	36788	9.694186047	0.0275	0.01	0.140639484342174	0.101427689325723
HF	36788	9.694186047	0.0275	0.01	0.141639484342174	0.103079451548906
HF	36788	9.694186047	0.0275	0.01	0.142639484342174	0.104750664307008
HF	36788	9.694186047	0.0275	0.01	0.143639484342174	0.106441411648612
HF	36788	9.694186047	0.0275	0.01	0.144639484342174	0.108151775234981
HF	36788	9.694186047	0.0275	0.01	0.145639484342174	0.109881834291131
HF	36788	9.694186047	0.0275	0.01	0.146639484342174	0.111631665557167
HF	36788	9.694186047	0.0275	0.01	0.147639484342174	0.113401343239929
HF	36788	9.694186047	0.0275	0.01	0.148639484342174	0.115190938964948
HF	36788	9.694186047	0.0275	0.01	0.149639484342174	0.117000521728756
HF	36788	9.694186047	0.0275	0.01	0.150639484342174	0.11883015785156
HF	36788	9.694186047	0.0275	0.01	0.151639484342174	0.120679910930311
HF	36788	9.694186047	0.0275	0.01	0.152639484342174	0.1225498417922
HF	36788	9.694186047	0.0275	0.01	0.153639484342174	0.124440008448586
HF	36788	9.694186047	0.0275	0.01	0.154639484342174	0.126350466049401
HF	36788	9.694186047	0.0275	0.01	0.155639484342174	0.128281266838045
HF	36788	9.694186047	0.0275	0.01	0.156639484342174	0.1302324601068
HF	36788	9.694186047	0.0275	0.01	0.157639484342174	0.132204092152787
HF	36788	9.694186047	0.0275	0.01	0.158639484342174	0.13419620623449
HF	36788	9.694186047	0.0275	0.01	0.159639484342174	0.136208842528871
HF	36788	9.694186047	0.0275	0.01	0.160639484342174	0.138242038089106
HF	36788	9.694186047	0.0275	0.01	0.161639484342174	0.140295826802959
HF	36788	9.694186047	0.0275	0.01	0.162639484342174	0.142370239351822
HF	36788	9.694186047	0.0275	0.01	0.163639484342174	0.144465303170449
HF	36788	9.694186047	0.0275	0.01	0.164639484342174	0.146581042407397
HF	36788	9.694186047	0.0275	0.01	0.165639484342174	0.148717477886218
HF	36788	9.694186047	0.0275	0.01	0.166639484342174	0.150874627067403
HF	36788	9.694186047	0.0275	0.01	0.167639484342174	0.153052504011118
HF	36788	9.694186047	0.0275	0.01	0.168639484342174	0.155251119340751
HF	36788	9.694186047	0.0275	0.01	0.169639484342174	0.157470480207291
HF	36788	9.694186047	0.0275	0.01	0.170639484342174	0.159710590254566
HF	36788	9.694186047	0.0275	0.01	0.171639484342174	0.16197144958536
HF	36788	9.694186047	0.0275	0.01	0.172639484342174	0.164253054728436
HF	36788	9.694186047	0.0275	0.01	0.173639484342174	0.166555398606483
HF	36788	9.694186047	0.0275	0.01	0.174639484342174	0.168878470505013
HF	36788	9.694186047	0.0275	0.01	0.175639484342174	0.171222256042226
HF	36788	9.694186047	0.0275	0.01	0.176639484342174	0.17358673713987
HF	36788	9.694186047	0.0275	0.01	0.177639484342174	0.175971891995111
HF	36788	9.694186047	0.0275	0.01	0.178639484342174	0.178377695053445
HF	36788	9.694186047	0.0275	0.01	0.179639484342174	0.180804116982656
HF	36788	9.694186047	0.0275	0.01	0.180639484342174	0.183251124647856
HF	36788	9.694186047	0.0275	0.01	0.181639484342174	0.185718681087623
HF	36788	9.694186047	0.0275	0.01	0.182639484342174	0.188206745491245
HF	36788	9.694186047	0.0275	0.01	0.183639484342174	0.19071527317711
HF	36788	9.694186047	0.0275	0.01	0.184639484342174	0.193244215572241
HF	36788	9.694186047	0.0275	0.01	0.185639484342174	0.195793520193011
HF	36788	9.694186047	0.0275	0.01	0.186639484342174	0.198363130627039
